,source,target,sampled
2007,an old restored train in an open field,an old fashioned train engine caked up to a caboose, an elderly man checks his minivan to a train track
2008,a piece of cake sitting on a square plate,a small piece of dessert sitting on a gray plate, a large cake in cake sits a plate
2009,a man holding a tennis racket playing tennis,the man balances on one leg after serving a tennis ball, man swinging on a tennis racket while holding racket
2010,a four cross street of a downtown area,a wide empty street corner filled with buildings, a busy city street lined with shops in the background
2011,a brown white and black cat looking at a laptop,a cat is watching a picture on a laptop computer, a brown and white cat is on a computer looking at a computer
2012,four vases with purple flower in it there are two different shapes and sizes,a group of four matching vases are adorned with glass butterflies, a large group of different colored jar forms with colorful ribbons
2013,a tram and a car make their way through town,a white car and a white bus parked parallel from one another, a car is driving a busy intersection while cars go through the city
2014,a white sink sitting under a bathroom window,cluttered bathroom with sink in foreground and towel on a rack, window washer with glass and eye hanging from a window
2015,a toilet with three seashells sitting on top of it,view of a white toilet with sea shells on the tank cover, closeup of a small tub with someone sitting on it s head
2016,this is a close up photo of a street sign of a cross street,street sign for anza and 21st streets in front of building, picture of traffic scene of traffic with signs in background
2017,a woman wearing a cowboy hat posing with a horse,a midsized horse in a field with her rider standing, a tattooed woman in a cowboy hat holding a horse
2018,kites are flying in the sky over the water at a park,a filed full of people flying colorful kites, a flying a green sky flying over a lake
2019,a cat sitting in a window watching the rain drip on the window glass,young kitten along windowpane watching the rain tap on the glass, cat perched out window from a window window the window
2020,there is a piece of cake on a plate with decorations on it,an extravagant dessert on a plate overlooking the water, an egg about to a cake
2021,framed artwork and paintings stored vertically in an old bathtub,someone put their art collection in their bath tub, artwork of their artwork by the window seal
2022,a couple of sandwiches are on a pan,two sandwiches on rye bread sit on a foil covered pan, an older couple on aprons sitting on a kitchen counter with food on it
2023,the man is posing for a picture with his snowboard,a man that is standing with a snowboard in the snow, a man looks at a camera while wearing a helmet
2024,a white bathroom sink sitting under a bathroom window,an empty bathroom with blue walls on the lights on, an image window with glass on the window
2025,a large clock tower towering over a city glowing brightly at night,a church steeple is lit above houses lining a shore, a crowd watches the sky lights lights lights
2026,a pile of carrots for sale in an outside market,some colorful carrots sitting on a table next to some other veggies, fresh vegetables market vegetables on a street for a variety of produce
2027,many images form a picture of a computer monitor on a desk,a picture of a pc on a makeshift computer table, a view of a computer screen on a laptop
